"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	2007	
"Panama"	166	"Potatoes"	116	"Area Harvested (Ha)"	31	1300	"F "
"Papua New Guinea"	168	"Potatoes"	116	"Area Harvested (Ha)"	31	200	"* "
"Paraguay"	169	"Potatoes"	116	"Area Harvested (Ha)"	31	200	"F "
"Peru"	170	"Potatoes"	116	"Area Harvested (Ha)"	31	269441	"  "
"Philippines"	171	"Potatoes"	116	"Area Harvested (Ha)"	31	5600	"F "
"Poland"	173	"Potatoes"	116	"Area Harvested (Ha)"	31	569600	"  "
"Portugal"	174	"Potatoes"	116	"Area Harvested (Ha)"	31	41400	"  "
"Qatar"	179	"Potatoes"	116	"Area Harvested (Ha)"	31	5	"F "
"Réunion"	182	"Potatoes"	116	"Area Harvested (Ha)"	31	230	"F "
"Romania"	183	"Potatoes"	116	"Area Harvested (Ha)"	31	282812	"  "
"Russian Federation"	185	"Potatoes"	116	"Area Harvested (Ha)"	31	2862500	"  "
"Rwanda"	184	"Potatoes"	116	"Area Harvested (Ha)"	31	133000	"F "
"Saint Kitts and Nevis"	188	"Potatoes"	116	"Area Harvested (Ha)"	31	15	"F "
"Saudi Arabia"	194	"Potatoes"	116	"Area Harvested (Ha)"	31	24000	"F "
"Senegal"	195	"Potatoes"	116	"Area Harvested (Ha)"	31	600	"F "
"Serbia"	272	"Potatoes"	116	"Area Harvested (Ha)"	31	81379	"  "
"Slovakia"	199	"Potatoes"	116	"Area Harvested (Ha)"	31	18186	"  "
"Slovenia"	198	"Potatoes"	116	"Area Harvested (Ha)"	31	5736	"  "
"South Africa"	202	"Potatoes"	116	"Area Harvested (Ha)"	31	58000	"F "
"Spain"	203	"Potatoes"	116	"Area Harvested (Ha)"	31	89000	"  "
"Sri Lanka"	38	"Potatoes"	116	"Area Harvested (Ha)"	31	5330	"  "
"Sudan"	206	"Potatoes"	116	"Area Harvested (Ha)"	31	20000	"F "
"Swaziland"	209	"Potatoes"	116	"Area Harvested (Ha)"	31	3000	"F "
"Sweden"	210	"Potatoes"	116	"Area Harvested (Ha)"	31	28522	"  "
"Switzerland"	211	"Potatoes"	116	"Area Harvested (Ha)"	31	11800	"  "
"Syrian Arab Republic"	212	"Potatoes"	116	"Area Harvested (Ha)"	31	30000	"F "
"Tajikistan"	208	"Potatoes"	116	"Area Harvested (Ha)"	31	29800	"  "
"Tanzania, United Republic of"	215	"Potatoes"	116	"Area Harvested (Ha)"	31	37000	"F "
"Thailand"	216	"Potatoes"	116	"Area Harvested (Ha)"	31	7981	"  "
"The former Yugoslav Republic of Macedonia"	154	"Potatoes"	116	"Area Harvested (Ha)"	31	13700	"  "
"Timor-Leste"	176	"Potatoes"	116	"Area Harvested (Ha)"	31	400	"F "
"Tunisia"	222	"Potatoes"	116	"Area Harvested (Ha)"	31	24550	"  "
"Turkey"	223	"Potatoes"	116	"Area Harvested (Ha)"	31	158500	"F "
"Turkmenistan"	213	"Potatoes"	116	"Area Harvested (Ha)"	31	26800	"F "
"Uganda"	226	"Potatoes"	116	"Area Harvested (Ha)"	31	93000	"  "
"Ukraine"	230	"Potatoes"	116	"Area Harvested (Ha)"	31	1452400	"  "
"United Arab Emirates"	225	"Potatoes"	116	"Area Harvested (Ha)"	31	310	"F "
"United Kingdom"	229	"Potatoes"	116	"Area Harvested (Ha)"	31	139000	"  "
"United States of America"	231	"Potatoes"	116	"Area Harvested (Ha)"	31	456000	"  "
"Uruguay"	234	"Potatoes"	116	"Area Harvested (Ha)"	31	8600	"F "
"Uzbekistan"	235	"Potatoes"	116	"Area Harvested (Ha)"	31	50500	"F "
"Venezuela, Bolivarian Republic of"	236	"Potatoes"	116	"Area Harvested (Ha)"	31	24500	"F "
"Viet Nam"	237	"Potatoes"	116	"Area Harvested (Ha)"	31	35000	"F "
"Yemen"	249	"Potatoes"	116	"Area Harvested (Ha)"	31	18276	"  "
"Zambia"	251	"Potatoes"	116	"Area Harvested (Ha)"	31	1050	"F "
"Zimbabwe"	181	"Potatoes"	116	"Area Harvested (Ha)"	31	2250	"F "
