"countries"	"country codes"	"item"	"item codes"	"element"	"element codes"	1961		1962		1963		1964		1965		1966		1967		1968		1969		1970		1971		1972		1973		1974		1975		1976		1977		1978		1979		1980		1981		1982		1983		1984		1985		1986		1987		1988		1989		1990		1991		1992		1993		1994		1995		1996		1997		1998		1999		2000		2001		2002		2003		2004		2005		2006		2007	
"Egypt"	59	"Potatoes"	116	"Production (tonnes)"	51	392383		354649		420371		376287		440849		324323		278480		472000		487398		549000		450596		596000		798000		708000		720000		894000		1010801		772675		1018725		1213887		1194870		1184000		1095000		1189000		1478229		1430760		1800748		1862018		1657029		1637807		1786057		1618650		1600000	"F "	1324649		2599100		2626021		1802761		1984013		1808890		1769910		1903134		1985317		2039351		2546610		2500000	"F "	2550000	"F "	2600000	"F "
"Eritrea"	178	"Potatoes"	116	"Production (tonnes)"	51																																																																	41000	"F "	41000	"F "	40000	"F "	39000	"F "	42000	"F "	45000	"F "	40000	"F "	40000	"F "	17415		15280		10850		16000		17488		15500	"F "	16000	"F "
"Fiji"	66	"Potatoes"	116	"Production (tonnes)"	51	20	"F "	20	"F "	40	"F "	120	"F "	50	"F "	110	"F "	100	"F "	150	"F "	457		1016		300	"F "	300	"F "	216		350	"F "	700	"F "	750	"F "	700	"F "	500	"F "	550	"F "	400	"F "	300	"F "	300	"F "	250	"F "	200	"F "	200	"F "	150	"F "	150	"F "	130	"F "	110		128		120	"F "	93		25		102		85	"F "	85		80	"F "	80	"F "	80	"F "	80	"F "	80	"F "	80	"F "	80	"F "	80	"F "	70	"F "	80	"F "	80	"F "
"Finland"	67	"Potatoes"	116	"Production (tonnes)"	51	1057135		950182		1221200		850200		1257400		1066400		880600		908200		779300		1135900		803100		715600		669000		525200		679600		947900		736500		745700		674100		736200		477800		601100		804000		745100		707700		773200		490500		854500		981300		881400		672100		673200		777200		725600		798000		765700		754100		590700		791100		785200		732800		780100		617400		619400		742700		575700	"  "	701600	"  "
"Greece"	84	"Potatoes"	116	"Production (tonnes)"	51	400184		402966		465797		544503		516527		531200		598796		602992		676436		756109		667953		689000		765000		778000		878320		1018000		1015717		907720		968000		1084000		1056000		1021000		1135000		1051000		1024000		1020000		1016520		997000		1148000		953035		1049000		1052000		1000000		998000		1050827		1031000		943000		994000		978000		1012000		959819		901000		955000		948361		819000		884668	"  "	830000	"  "
"Guadeloupe"	87	"Potatoes"	116	"Production (tonnes)"	51	135	"F "	140	"F "	144		144		180		180		150	"F "	145	"F "	140	"F "	140	"F "	140		130		130		70		0	"F "	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0																															
"Iceland"	99	"Potatoes"	116	"Production (tonnes)"	51	13000		10000		9000		8500		12500		3494		6521		5604		4465		5406		11407		8554		6030		13418		6305		6918		7642		13081		6089		15341		10856		14300		5000		19459		12818		16578		18093		10289		8000		8500		15131		11200		8900		11144		7324		11213		8557		11554		9013		9843		11366		8800		7090		12000		13800		13500	"F "	13000	"F "
"Ireland"	104	"Potatoes"	116	"Production (tonnes)"	51	2145000		2117100		1969400		1525900		1647837		1678400		1747700		1624200		1452600		1468200		1428200		1069900		1332000		1111000		1018000		1179000		1531000		1008000		902000		880000		684000		869000		661000		870000		686000		619000		697000		671000		554000		605000		571000		642000		569000		642000		618000		733000		472000		482000		559000		455000		478000		518609		488200		552200		409200		403472	"  "	454800	"  "
"Kyrgyzstan"	113	"Potatoes"	116	"Production (tonnes)"	51																																																															362000		308300		310900		431567		562366		677975		773489		957195		1045555		1168396		1244031		1308200		1362530		1141456		1254900	"  "	1373800	"  "
"United Kingdom"	229	"Potatoes"	116	"Production (tonnes)"	51	6811000		7185000		7196000		7549000		8006000		6897000		7559000		7273000		6513000		7821000		7744000		6863000		7091000		7157000		4787000		4789000		6621000		7331000		6485000		7105000		6214000		6875000		5885000		7398000		6892000		6412000		6760000		6899000		6266000		6467000		6267000		7814000		7072000		6542000		6404000		7228000		7128000		6422000		7130900		6636000		6649000		6966000		5918000		6316500		5961000		5727000	"  "	5635000	"  "
"Afghanistan"	2	"Potatoes"	116	"Seed (tonnes)"	111	15000	"F "	15000	"F "	15000	"F "	15000	"F "	15000	"F "	15000	"F "	15000	"F "	15100	"F "	15100	"F "	15000	"F "	15200	"F "	15000	"F "	16600	"F "	17000	"F "	19800	"F "	19000	"F "	18200	"F "	17900	"F "	17900	"F "	17700	"F "	17600	"F "	17000	"F "	18000	"F "	17600	"F "	15000	"F "	14000	"F "	14000	"F "	13300	"F "	13300	"F "	13300	"F "	13300	"F "	13500	"F "	13500	"F "	14000	"F "	14000	"F "	14000	"F "	14000	"F "	14000	"F "	14000	"F "	14000	"F "	14000	"F "	15000	"F "	17000	"F "	20000	"F "	20000	"F "				
"Bangladesh"	16	"Potatoes"	116	"Seed (tonnes)"	111	55847	"F "	57871	"F "	55442	"F "	55442	"F "	60700	"F "	70400	"F "	76100	"F "	84200	"F "	85400	"F "	86600	"F "	76236	"F "	79554	"F "	80058	"F "	93864	"F "	95932	"F "	77377	"F "	90031	"F "	96676	"F "	96482	"F "	102128	"F "	107665	"F "	110085	"F "	110194	"F "	111280	"F "	108410	"F "	106360	"F "	123393	"F "	111312	"F "	116582	"F "	123844	"F "	127796	"F "	129605	"F "	131245	"F "	131500	"F "	132300	"F "	133971	"F "	136276	"F "	244836	"F "	243219	"F "	248988	"F "	237600	"F "	245318	"F "	270740	"F "	326291	"F "	326291	"F "				
"Bolivia"	19	"Potatoes"	116	"Seed (tonnes)"	111	129000	"F "	131000	"F "	134000	"F "	132000	"F "	138000	"F "	132000	"F "	123000	"F "	105000	"F "	111000	"F "	114000	"F "	116000	"F "	134000	"F "	139000	"F "	142000	"F "	153000	"F "	156000	"F "	150000	"F "	189000	"F "	196000	"F "	202000	"F "	213000	"F "	191000	"F "	130000	"F "	187000	"F "	196000	"F "	107400		172434		152454		147252		137647		143969		126500		145245		152145		179659		175536		191544		187414		165265		184368		177384		178905		178710		180000	"F "	180000	"F "				
"Colombia"	44	"Potatoes"	116	"Seed (tonnes)"	111	70500	"F "	64800	"F "	71250	"F "	62500	"F "	71400	"F "	74300	"F "	76100	"F "	74000	"F "	79100	"F "	83000	"F "	84100	"F "	92700	"F "	86500	"F "	103400	"F "	117500	"F "	122200	"F "	133100	"F "	139100	"F "	133500	"F "	149900	"F "	155300	"F "	150900	"F "	150100	"F "	130700	"F "	146600	"F "	147800	"F "	159900	"F "	162000	"F "	161350		151413		146568		185000	"F "	184000	"F "	178000	"F "	158000	"F "	175000	"F "	175000	"F "	175000	"F "	180000	"F "	210000	"F "	175000	"F "	135000	"F "	160000	"F "	160000	"F "	160000	"F "				
"Congo"	46	"Potatoes"	116	"Seed (tonnes)"	111	50	"F "	300	"F "	500	"F "	500	"F "	500	"F "	300	"F "	300	"F "	250	"F "	210	"F "	260	"F "	260	"F "	290	"F "	350	"F "	250	"F "	250	"F "	260	"F "	250	"F "	270	"F "	300	"F "	330	"F "	330	"F "	330	"F "	330	"F "	200	"F "	214	"F "	214	"F "	230	"F "	240	"F "	250	"F "	270	"F "	280	"F "	280	"F "	290	"F "	300	"F "	340	"F "	350	"F "	380	"F "	435	"F "	490	"F "	490	"F "	507	"F "	420	"F "	480	"F "	560	"F "	560	"F "				
